id,sku,marca,descripcion,variantes,costo,categoria,imagen
397,PROD-0119,Henkel,HENKEL PEGAMENTO RESISTOL 850 490GR,NULL,$154.38,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0405.webp
398,PROD-0120,Henkel,HENKEL PEGAMENTO RESISTOL 850 55GR,NULL,$37.20,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0406.webp
399,PROD-0121,Henkel,HENKEL PEGAMENTO BULLY 35GR,NULL,$13.95,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0501.webp
400,PROD-0122,Henkel,HENKEL PEGAMENTO BULLY 1KG,NULL,$154.38,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0502.webp
401,PROD-0123,Henkel,HENKEL PEGAMENTO BULLY 110GR,NULL,$29.76,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0503.webp
402,PROD-0124,Henkel,HENKEL PEGAMENTO BULLY 225GR,NULL,$50.22,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0504.webp
403,PROD-0125,Henkel,HENKEL PEGAMENTO BULLY 490GR,NULL,$91.14,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0505.webp
404,PROD-0126,Henkel,HENKEL PEGAMENTO BULLY 55GR,NULL,$22.32,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento Bully/D0506.webp
405,PROD-0127,Marros,MARROS MR440 COMPAS TUBULAR EMBLISTADO,NULL,$16.74,Geometria,/Imagenes_Catalogo/Marros/Compas/E0201.webp
406,PROD-0128,Marros,MARROS MR550 JUEGO DE GEO GRANDE IRROMPIBLE COMPAS PREC,NULL,$93.00,Geometria,/Imagenes_Catalogo/Marros/Juegos de Geometria/E0301.webp
407,PROD-0129,Marros,MARROS MR10 JUEGO DE GEOMETRIA ECOLOGICO,NULL,$40.92,Geometria,/Imagenes_Catalogo/Marros/Juegos de Geometria/E0302.webp
408,PROD-0130,Marros,MARROS MR30 JUEGO DE GEOMETRIA MEDIANO FLEXIBLE,NULL,$85.56,Geometria,/Imagenes_Catalogo/Marros/Juegos de Geometria/E0303.webp
409,PROD-0131,Marros,MARROS MR520 JUEGO DE GEOMETRIA GRANDE DE COLORES,NULL,$40.92,Geometria,/Imagenes_Catalogo/Marros/Juegos de Geometria/E0304.webp
410,PROD-0132,Marros,MARROS MR130 JUEGO DE GEOMETRIA SIDERAL,NULL,$37.20,Geometria,/Imagenes_Catalogo/Marros/Juegos de Geometria/E0305.webp
411,PROD-0133,Marros,MARROS MR120 REGLA 30CM PLASTICO,NULL,$6.51,Geometria,/Imagenes_Catalogo/Marros/Reglas/E0401.webp
412,PROD-0134,Marros,MARROS MR340 REGLA 20CM PLASTICO,NULL,$6.51,Geometria,/Imagenes_Catalogo/Marros/Reglas/E0402.webp
413,PROD-0135,Marros,MARROS MR390 TRANSPORTADOR 180° 10CM,NULL,$4.84,Geometria,/Imagenes_Catalogo/Marros/Transportadores/E0501.webp
414,PROD-0136,Marros,MARROS MR400 TRANSPORTADOR 360° 12.7CM,NULL,$15.81,Geometria,/Imagenes_Catalogo/Marros/Transportadores/E0502.webp
415,PROD-0137,Selanusa,SELANUSA DIAMANTINA 50GR,VARIOS COLORES,$13.02,Manualidades,/Imagenes_Catalogo/Selanusa/Diamantina 50g/F0201.webp
416,PROD-0138,Selanusa,FOAMY CARTULINA LISO,VARIOS COLORES,$11.57,Manualidades,/Imagenes_Catalogo/Selanusa/Foamy Cartulina/F0301.webp
417,PROD-0139,Selanusa,FOAMY CARTULINA DIAMANTADO,VARIOS COLORES,$17.57,Manualidades,/Imagenes_Catalogo/Selanusa/Foamy Cartulina Diamantado/F0401.webp
418,PROD-0140,Selanusa,FOAMY CARTA LISO,VARIOS COLORES,$5.58,Manualidades,/Imagenes_Catalogo/Selanusa/Foamy Cta/F0501.webp
419,PROD-0141,Selanusa,FOAMY CARTA DIAMANTADO,VARIOS COLORES,$87.42,Manualidades,/Imagenes_Catalogo/Selanusa/Foamy Cta Diamantado/F0601.webp
420,PROD-0142,Selanusa,SELANUSA SILICON LIQUIDO CON 100 ML,NULL,$35.34,Pegamentos,/Imagenes_Catalogo/Selanusa/Silicon Frio/F0701.webp
421,PROD-0143,Selanusa,SELANUSA SILICON LIQUIDO CON 250 ML.,NULL,$82.77,Pegamentos,/Imagenes_Catalogo/Selanusa/Silicon Frio/F0702.webp
422,PROD-0144,Selanusa,SELANUSA SILICON LIQUIDO CON 30 ML,NULL,$14.88,Pegamentos,/Imagenes_Catalogo/Selanusa/Silicon Frio/F0703.webp
423,PROD-0145,Selanusa,SELANUSA SILICON LIQUIDO CON 60 ML,NULL,$23.25,Pegamentos,/Imagenes_Catalogo/Selanusa/Silicon Frio/F0704.webp
424,PROD-0146,Rodin,RODIN ACUARELA BOMBIN C/12 PASTILLAS EN CARTON,NULL,$24.18,Arte,/Imagenes_Catalogo/Rodin/Acuarela/G0201.webp
425,PROD-0147,Rodin,RODIN GIS PASTEL SUAVE RODART CON 12 PZS,NULL,$72.54,Arte,/Imagenes_Catalogo/Rodin/Gis Pastel/G0301.webp
426,PROD-0148,Rodin,RODIN GIS PASTEL SUAVE RODART CON 24 PZS,NULL,$145.08,Arte,/Imagenes_Catalogo/Rodin/Gis Pastel/G0302.webp
427,PROD-0149,Rodin,RODIN LAPIZ GRADUADO GRAFITO,"H, B, HB, 2H, 2B, 3B, 4B, 5B, 6B, 8B",$16.55,Arte,/Imagenes_Catalogo/Rodin/Lapiz Dibujo/G0401.webp
428,PROD-0150,Rodin,RODIN PINTURA  ACRILICA POLITEC 20ML,"BLANCO, NEGRO, CAFE, NARANJA, AZUL ULTRAMAR, VERDE, AZUL CELESTE, ROJO, AZUL PASTEL, GRIS, CARNE, MORADO, ROSA MEXICANO, AMARILLO, ROSA PASTEL, LIMON, LILA, PLATA ORO",$13.95,Arte,/Imagenes_Catalogo/Rodin/Pintura Acrilica 20ml/G0501.webp
429,PROD-0151,Rodin,RODIN PINTURA  ACRILICA POLITEC 100ML,"BLANCO, NEGRO, CAFE, NARANJA, AZUL ULTRAMAR, VERDE, AZUL CELESTE, ROJO, AZUL PASTEL, GRIS, CARNE, MORADO, ROSA MEXICANO, AMARILLO, ROSA PASTEL, LIMON, LILA, PLATA ORO",$44.64,Arte,/Imagenes_Catalogo/Rodin/Pintura Acrilica 100ml/G0601.webp
430,PROD-0152,Rodin,RODIN PINTURA  ACRILICA POLITEC 250ML,"BLANCO, NEGRO, CAFE, NARANJA, AZUL ULTRAMAR, VERDE, AZUL CELESTE, ROJO, AZUL PASTEL, GRIS, CARNE, MORADO, ROSA MEXICANO, AMARILLO, ROSA PASTEL, LIMON, LILA, PLATA ORO",$102.30,Arte,/Imagenes_Catalogo/Rodin/Pintura Acrilica 250ml/G0701.webp
431,PROD-0153,Rodin,"RODIN ESTUCHE POLITEC SURTIDO C/12 7 FLUO, 3 MET Y 2 NAC DE 10 ML C/U",NULL,$184.14,Arte,/Imagenes_Catalogo/Rodin/Pintura Acrilica estuche c10/G0801.webp
432,PROD-0154,Rodin,RODIN ESTUCHE POLITEC  C/12 FRASCOS SURTIDOS Y PINCEL 10ML C/U,NULL,$122.76,Arte,/Imagenes_Catalogo/Rodin/Pintura Acrilica estuche c10/G0802.webp
433,PROD-0155,Rodin,RODIN VINILICA BOMBIN 250ML,"BLANCO, NEGRO, VERDE, CAFÉ, AZUL, NARANJA, ROJO, AMARILLO, VERDE LIMON, MORADO, AZUL CLARO, ROSA",$44.64,Arte,/Imagenes_Catalogo/Rodin/Pintura Vinilica Bombin/G0901.webp
434,PROD-0156,Interiorent,INTERORIENT CALCULADORA TIPO BOLSILLO EN CAJA INDIVIDUAL ,NULL,$39.06,Calculadoras,/Imagenes_Catalogo/Interiorent/Calculadora/H0201.webp
435,PROD-0157,Interiorent,INTERORIENT CALCULADORA CIENTIFICA  CON 220 FUNCIONES,NULL,$117.18,Calculadoras,/Imagenes_Catalogo/Interiorent/Calculadora/H0202.webp
436,PROD-0158,Interiorent,INTERORIENT ENGRAPADORA DE MEDIA TIRA,NULL,$94.86,Oficina,/Imagenes_Catalogo/Interiorent/Engrapadoras/H0301.webp
437,PROD-0159,Interiorent,INTERORIENT ENGRAPADORA DE TIRA COMPLETA,NULL,$120.90,Oficina,/Imagenes_Catalogo/Interiorent/Engrapadoras/H0302.webp
438,PROD-0160,Interiorent,INTERORIENT MINI ENGRAPADORA PORTÁTIL,NULL,$53.94,Oficina,NULL
439,PROD-0161,Interiorent,INTERORIENT MARCADOR PERMANENTE,"AZUL, ROJO, NEGRO",$14.88,Marcadores,/Imagenes_Catalogo/Interiorent/Marcadores Permanente/H0401.webp
440,PROD-0162,Naviteck,NAVITEK EMPAQUE NAVITEK CANELA 48 X 150,NULL,$53.94,Cintas,/Imagenes_Catalogo/Naviteck/Cinta de Empaque/I0201.webp
441,PROD-0163,Naviteck,NAVITEK EMPAQUE NAVITEK NATURAL 48 X 150,NULL,$53.94,Cintas,/Imagenes_Catalogo/Naviteck/Cinta de Empaque/I0202.webp
442,PROD-0164,Naviteck,NAVITEK EMPAQUE NAVITEK CANELA 48 X 50,NULL,$23.25,Cintas,/Imagenes_Catalogo/Naviteck/Cinta de Empaque/I0203.webp
443,PROD-0165,Naviteck,NAVITEK EMPAQUE NAVITEK NATURAL 48 X 50,NULL,$23.25,Cintas,/Imagenes_Catalogo/Naviteck/Cinta de Empaque/I0204.webp
444,PROD-0166,Naviteck,NAVITEK DOBLE CARA DE POLIESTER 18 X50,NULL,$113.46,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Doble cara/I0301.webp
445,PROD-0167,Naviteck,NAVITEK DOBLE CARA DE POLIESTER 12 X50,NULL,$81.84,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Doble cara/I0302.webp
446,PROD-0168,Naviteck,NAVITEK CINTA NAVITEK N- 55 12X65,NULL,$20.46,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Transparente/I0401.webp
447,PROD-0169,Naviteck,NAVITEK CINTA NAVITEK N- 55 18X33,NULL,$11.16,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Transparente/I0402.webp
448,PROD-0170,Naviteck,NAVITEK CINTA NAVITEK N- 55 18X65,NULL,$29.76,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Transparente/I0403.webp
449,PROD-0171,Naviteck,NAVITEK CINTA NAVITEK N- 55 24X65,NULL,$37.20,Cintas,/Imagenes_Catalogo/Naviteck/Cinta Transparente/I0404.webp
450,PROD-0172,Naviteck,NAVITEK CINTA MASKING TAPE 12X50,NULL,$20.46,Cintas,/Imagenes_Catalogo/Naviteck/Masking Tape/I0501.webp
451,PROD-0173,Naviteck,NAVITEK CINTA MASKING TAPE 48X50,NULL,$79.98,Cintas,/Imagenes_Catalogo/Naviteck/Masking Tape/I0502.webp
452,PROD-0174,Naviteck,NAVITEK CINTA MASKING TAPE 18X50,NULL,$29.76,Cintas,/Imagenes_Catalogo/Naviteck/Masking Tape/I0503.webp
453,PROD-0175,Naviteck,NAVITEK CINTA MASKING TAPE 24X50,NULL,$39.06,Cintas,/Imagenes_Catalogo/Naviteck/Masking Tape/I0504.webp
454,PROD-0176,Kola Loka,KOLA KOLE LAPIZ ADHESIVO 8 GR,NULL,$9.30,Pegamentos,/Imagenes_Catalogo/Kola Loka/Lapiz adhesivo/J0201.webp
455,PROD-0177,Kola Loka,KOLA KOLE LAPIZ ADHESIVO 20 GR,NULL,$18.60,Pegamentos,/Imagenes_Catalogo/Kola Loka/Lapiz adhesivo/J0202.webp
456,PROD-0178,Kola Loka,KOLA KOLE LAPIZ ADHESIVO 42 GR,NULL,$46.50,Pegamentos,/Imagenes_Catalogo/Kola Loka/Lapiz adhesivo/J0203.webp
457,PROD-0179,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 60 GR,NULL,$16.74,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0301.webp
458,PROD-0180,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 120 GR,NULL,$24.18,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0302.webp
459,PROD-0181,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 230 GR,NULL,$40.92,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0303.webp
460,PROD-0182,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 30 GR,NULL,$11.16,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0304.webp
461,PROD-0183,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 440 GR,NULL,$68.82,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0305.webp
462,PROD-0184,Kola Loka,KOLA SUEPER KOLE PEGAMENTO BLANCO 900 GR,NULL,$115.32,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamento Blanco/J0306.webp
463,PROD-0185,Kola Loka,KOLA LOKA BROCHA 5GR,NULL,$47.43,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamentos Instantaneos/J0401.webp
464,PROD-0186,Kola Loka,KOLA LOKA GOTERITO 3.5GR,NULL,$37.20,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamentos Instantaneos/J0402.webp
465,PROD-0187,Kola Loka,KOLA PLASTILOKA 20 GRS,NULL,$35.34,Pegamentos,/Imagenes_Catalogo/Kola Loka/Pegamentos Instantaneos/J0403.webp
466,PROD-0188,Eurocolor,CARTULINA FLUORESCENTE,"AMARILLO, AZUL, MORADO, NARANJA, PAPAYA, ROJO, ROSA, VERDE",$8.93,Extendidos,/Imagenes_Catalogo/Eurocolor/Cartulina Fluor/K0201.webp
467,PROD-0189,Eurocolor,CARTULINA IRIS,"ROSA MEXICANO, VERDE, VERDE LIMON, AMARILLO, AZUL REY, CAFE, MORADO, NARANJA, VIOLETA, LILA, AZUL CELESTE, NEGRO, ROJO",$10.04,Extendidos,/Imagenes_Catalogo/Eurocolor/Cartulina Iris/K0301.webp
468,PROD-0190,Eurocolor,ARPAPEL FOLDER PASTEL CARTA,"AZUL, AMARILLO, VERDE, ROSA",$3.35,Folders,/Imagenes_Catalogo/Eurocolor/Folder/K0401.webp
469,PROD-0191,Eurocolor,ARPAPEL FOLDER PASTEL OFICIO,"AZUL, AMARILLO, VERDE, ROSA",$4.65,Folders,/Imagenes_Catalogo/Eurocolor/Folder/K0402.webp
470,PROD-0192,Eurocolor,ARPAPEL FOLDER CREMA OFICIO,NULL,$2.98,Folders,/Imagenes_Catalogo/Eurocolor/Folder/K0403.webp
471,PROD-0193,Eurocolor,ARPAPEL FOLDER CREMA CARTA,NULL,$4.09,Folders,/Imagenes_Catalogo/Eurocolor/Folder/K0404.webp
472,PROD-0194,Eurocolor,ARPAPEL HOJA COLOR ,VARIOS COLORES,$1.12,Extendidos,/Imagenes_Catalogo/Eurocolor/Hoja Color/K0501.webp
473,PROD-0195,Eurocolor,ARPAPEL SOBRE MANILA BOLSA CARTA C/HILO,NULL,$9.30,Oficina,/Imagenes_Catalogo/Eurocolor/Sobre c hilo/K0601.webp
474,PROD-0196,Eurocolor,ARPAPEL SOBRE MANILA BOLSA OFICIO C/HILO,NULL,$11.16,Oficina,/Imagenes_Catalogo/Eurocolor/Sobre c hilo/K0602.webp
475,PROD-0197,Azor,AZOR AQUARELO GRIP MARCADOR GRUESO DE AGUA,NULL,$17.67,Marcadores,/Imagenes_Catalogo/Azor/Aquarelo grip/L0201.webp
476,PROD-0198,Azor,AZOR AQUARELO GRIP ESTUCHE CON 12 PZS SURTIDO,NULL,$223.20,Marcadores,/Imagenes_Catalogo/Azor/Aquarelo grip/L0202.webp
477,PROD-0199,Azor,AZOR AQUARELO JUNIOR ESTUCHE SURTIDO,"CON 6, 12, 24 PIEZAS",$93.00,Marcadores,/Imagenes_Catalogo/Azor/Aquarelo junior/L0301.webp
478,PROD-0200,Azor,AZOR AQUARELO JUNIOR,VARIOS COLORES,$6.88,Marcadores,/Imagenes_Catalogo/Azor/Aquarelo junior/L0302.webp
479,PROD-0201,Azor,AZOR SIGNAL DUO PUNTA FINA Y ULTRAFINA PERMANENTE,"ROJO, AZUL, NEGRO",$33.48,Marcadores,/Imagenes_Catalogo/Azor/Boligrafo/L0401.webp
480,PROD-0202,Azor,AZOR BOLIGRAFO PINPOINT PUNTO MEDIANO,"ROJO, AZUL, NEGRO, VERDE",$5.58,Escritura,/Imagenes_Catalogo/Azor/Boligrafo/L0402.webp
481,PROD-0203,Azor,AZOR BOLIGRAFO PINPOINT PUNTO FINO,"ROJO, AZUL, NEGRO, VERDE",$9.30,Escritura,/Imagenes_Catalogo/Azor/Boligrafo/L0403.webp
482,PROD-0204,Azor,AZOR SIGNAL PUNTO FINO PERMANENTE,"ROJO, AZUL, NEGRO",$22.32,Marcadores,/Imagenes_Catalogo/Azor/Boligrafo/L0404.webp
483,PROD-0205,Azor,AZOR COJIN PARA SELLO DE PLASTICO SIN TINTA # 0,NULL,$46.50,Oficina,/Imagenes_Catalogo/Azor/Cojin Sello/L0501.webp
484,PROD-0206,Azor,AZOR COJIN PARA SELLO DE PLASTICO SIN TINTA # 1,NULL,$48.36,Oficina,/Imagenes_Catalogo/Azor/Cojin Sello/L0502.webp
485,PROD-0207,Azor,AZOR COJIN PARA SELLO DE PLASTICO SIN TINTA # 2,NULL,$85.56,Oficina,/Imagenes_Catalogo/Azor/Cojin Sello/L0503.webp
486,PROD-0208,Azor,AZOR MARCADOR PARA PINTARRON MAGISTRAL DIDACTICO,"ROJO, AZUL, NEGRO, VERDE",$34.41,Marcadores,/Imagenes_Catalogo/Azor/Magistral/L0601.webp
487,PROD-0209,Azor,AZOR MARCADOR PARA PINTARRON MAGISTRAL PUNTO FINO,"ROJO, AZUL, NEGRO, VERDE",$34.41,Marcadores,/Imagenes_Catalogo/Azor/Magistral Fino/L0701.webp
488,PROD-0210,Azor,AZOR TINTA STTAFORD TIPO CANICA,"ROJO, AZUL, NEGRO",$48.36,Oficina,/Imagenes_Catalogo/Azor/Tinta Sello/L0801.webp
489,PROD-0211,8A,8A CUADERNO PROFESIONAL DE 200HJS PASTA DURA CON ESPIRAL,"RAYA, CUADRO GRANDE",$167.40,Cuadernos,/Imagenes_Catalogo/8A/Cuaderno 200 hjs/M0201.webp
490,PROD-0212,8A,8A CUADERNO PROFESIONAL DE 200HJS PASTA SUAVE CON ESPIRAL,"RAYA, CUADRO GRANDE",$111.60,Cuadernos,/Imagenes_Catalogo/8A/Cuaderno 200 hjs/M0202.webp
491,PROD-0213,8A,8A CUADERNO ROCA PROFESIONAL COSIDO DE 100 HJS,"RAYA, CUADRO GRANDE, CUADRO CHICO, DOBLE RAYA, DIBUJO",$53.01,Cuadernos,/Imagenes_Catalogo/8A/Cuaderno Cosido/M0301.webp
492,PROD-0214,8A,8A CUADERNO ROCA ITALIANO COSIDO DE 100 HJS,"RAYA, CUADRO GRANDE, CUADRO CHICO, DOBLE RAYA, DIBUJO, CUADRO ALEMAN",$35.34,Cuadernos,/Imagenes_Catalogo/8A/Cuaderno Cosido/M0302.webp
493,PROD-0215,8A,8A CUADERNO ROCA FRANCES COSIDO 100HJS,"RAYA, CUADRO GRANDE, CUADRO CHICO, DOBLE RAYA, DIBUJO; VARIOS COLORES",$35.34,Cuadernos,/Imagenes_Catalogo/8A/Cuaderno Cosido/M0303.webp
494,PROD-0216,Sajor,SAJOR CARTULINA BRISTOL BLANCA,NULL,$10.33,Extendidos,/Imagenes_Catalogo/Sajor/Cartulinas/N0201.webp
495,PROD-0217,Sajor,SAJOR CARTULINA BRISTOL COLORES PASTEL,"AMARILLO, AZUL, VERDE, ROSA",$11.37,Extendidos,/Imagenes_Catalogo/Sajor/Cartulinas/N0202.webp
496,PROD-0218,Sajor,SAJOR BLOCK VEGETAL (PAPEL MANTEQUILLA) 25 HOJAS T/C,NULL,$68.82,Extendidos,/Imagenes_Catalogo/Sajor/Mantequilla/N0301.webp
497,PROD-0219,Sajor,SAJOR SILICON SAIRA DELGADO O GRUESO,NULL,$204.60,Manualidades,/Imagenes_Catalogo/Sajor/Silicon barra/N0401.webp
498,PROD-0220,Popular,COLORIM BARRA PLASTILINA COLORCITOS,"AMARILLO, AZUL REY, AZUL CLARO, BLANCO, CAFE, CARNE, GRIS, NARANJA, NEGRO, ROJO, ROSA CLARO, VERDE, VERDE LIMON, VIOLETA, FIUSHA, ",$16.74,Arte,/Imagenes_Catalogo/Popular/Plastilina Barra/O0201.webp
499,PROD-0221,Jocar,JOCAR FLAUTA TRANSPARENTE JOCAR FT,NULL,$57.66,Arte,/Imagenes_Catalogo/Jocar/Jocar Flautas/P0201.webp
500,PROD-0222,Jocar,JOCAR FLAUTA ESCOLAR SOPRANO JOCAR FS,NULL,$57.66,Arte,/Imagenes_Catalogo/Jocar/Jocar Flautas/P0202.webp
501,PROD-0223,Jocar,JOCAR PORTALAPICES DOBLE COMPARTIMENTO LDC,NULL,$37.20,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapicera/P0301.webp
502,PROD-0224,Jocar,JOCAR COLORES CON 12 PZS LARGOS,NULL,$37.20,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0401.webp
503,PROD-0225,Jocar,JOCAR COLORES CON 24 PZS LARGOS,NULL,$74.40,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0402.webp
504,PROD-0226,Jocar,JOCAR COLORES NEGRO PREMIUM CAJA DE PLASTICO CON 24 PZS,NULL,$130.20,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0403.webp
505,PROD-0227,Jocar,JOCAR COLORES JOCARITOS BORRABLES CON 24 PZS LARGOS,NULL,$104.16,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0404.webp
506,PROD-0228,Jocar,JOCAR MARCADOR BASE AGUA SURTIDO CON 12 PZS Y AROMA A FRUTAS,NULL,$146.94,Marcadores,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0405.webp
507,PROD-0229,Jocar,JOCAR LAPIZ ENTRENADOR INICIAL,NULL,$14.88,Escritura,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0406.webp
508,PROD-0230,Jocar,JOCAR COLORES CON 12 PZS CORTO,NULL,$18.60,Arte,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0407.webp
509,PROD-0231,Jocar,JOCAR COLORES JOCARITOS BORRABLES CON 12 PZS LARGOS,NULL,$52.08,Arte,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0408.webp
510,PROD-0232,Jocar,JOCAR LAPIZ SUPREME TRIANGULAR 2HB NEGRO/NARANJA,NULL,$5.58,Arte,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0409.webp
511,PROD-0233,Jocar,JOCAR TIJERA ESCOLAR CON FUNDA,NULL,$12.09,Tijeras,/Imagenes_Catalogo/Jocar/Jocar Lapices/P0410.webp
512,PROD-0234,Jocar,JOCAR GEOPLANO JOCAR,NULL,$34.41,Arte,/Imagenes_Catalogo/Jocar/Jocar Varios/P0501.webp
513,PROD-0235,Jocar,JOCAR JUEGO GEOMETRIA FLEXIBLE MEDIANO CON COMPAS PRECISION JGFM,NULL,$65.10,Geometria,/Imagenes_Catalogo/Jocar/Jocar Varios/P0502.webp
514,PROD-0236,Jocar,JOCAR JUEGO GEOMETRIA FLEXIBLE EN BOLSA MEDIANO COMPAS PRECISION,NULL,$55.80,Geometria,/Imagenes_Catalogo/Jocar/Jocar Varios/P0503.webp
515,PROD-0237,Jocar,JOCAR REGLA FLEXIBLE DE 30CM,NULL,$7.44,Geometria,/Imagenes_Catalogo/Jocar/Jocar Varios/P0504.webp
516,PROD-0238,Gondi,GONDI CASCARON DE HUEVO MEDIO 1/2,NULL,$27.90,Extendidos,/Imagenes_Catalogo/Gondi/Cascaron/Q0201.webp
517,PROD-0239,Gondi,GONDI CASCARON DE HUEVO MEDIO 1/4,NULL,$13.02,Extendidos,/Imagenes_Catalogo/Gondi/Cascaron/Q0202.webp
518,PROD-0240,Gondi,GONDI CASCARON DE HUEVO MEDIO 1/8,NULL,$6.51,Extendidos,/Imagenes_Catalogo/Gondi/Cascaron/Q0203.webp
519,PROD-0241,Gondi,GONDI PAPEL DE CHINA,VARIOS COLORES,$45.47,Extendidos,/Imagenes_Catalogo/Gondi/China/Q0301.webp
520,PROD-0242,Pascua,PASCUA LAPIZ BICOLOR AZUL/ROJO,NULL,$6.51,Escritura,/Imagenes_Catalogo/Pascua/Escritura/R0201.webp
521,PROD-0243,Pascua,PASCUA LAPIZ DUO GRAFITO/ROJO,NULL,$6.51,Escritura,/Imagenes_Catalogo/Pascua/Escritura/R0202.webp
522,PROD-0244,Jc,JC CUADERNO FORMA ITALIANA ESPIRAL DE METAL CON 100HJS,"RAYA, CUADRO GRANDE, CUADRO CHICO, DOBLE RAYA, DIBUJO",$26.97,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0201.webp
523,PROD-0245,Jc,JC CUADERNO FORMA ITALIANA PAUTADO ,NULL,$26.97,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0202.webp
524,PROD-0246,Jc,JC CUADERNO MARQUILLA 10,NULL,$31.62,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0203.webp
525,PROD-0247,Jc,JC CUADERNO MARQUILLA 20,NULL,$53.94,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0204.webp
526,PROD-0248,Jc,JC CUADERNO MARQUILLA 30,NULL,$78.12,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0205.webp
527,PROD-0249,Jc,JC CUADERNO MARQUILLA 50,NULL,$130.20,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0206.webp
528,PROD-0250,Jc,JC CUADERNO PROFESIONAL PAUTADO,NULL,$76.26,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0207.webp
529,PROD-0251,Jc,JC BLOCK TABLA CHICO,NULL,$57.66,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0208.webp
530,PROD-0252,Jc,JC CUADERNO FORMA FRANCESA ESPIRAL DE METAL CON 100HJS,"RAYA, CUADRO GRANDE, CUADRO CHICO, DOBLE RAYA, DIBUJO",$26.97,Cuadernos,/Imagenes_Catalogo/Jc/Cuadernos/S0209.webp
